site,url,slug,viewport,raw_screenshot,clone_page,source_viewport,raw_width,raw_height,psnr,exact,pass,note
neuralink,https://neuralink.com/,home,desktop,public-clone/sites/neuralink/home/assets/desktop.png,public-clone/sites/neuralink/home/index.html,1440x1000,1440,4979,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/,home,mobile,public-clone/sites/neuralink/home/assets/mobile.png,public-clone/sites/neuralink/home/index.html,390x844,390,4206,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/careers/,careers,desktop,public-clone/sites/neuralink/careers/assets/desktop.png,public-clone/sites/neuralink/careers/index.html,1440x1000,1440,13369,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/careers/,careers,mobile,public-clone/sites/neuralink/careers/assets/mobile.png,public-clone/sites/neuralink/careers/index.html,390x844,390,11919,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/careers/apply/,careers-apply,desktop,public-clone/sites/neuralink/careers-apply/assets/desktop.png,public-clone/sites/neuralink/careers-apply/index.html,1440x1000,1440,6004,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/careers/apply/,careers-apply,mobile,public-clone/sites/neuralink/careers-apply/assets/mobile.png,public-clone/sites/neuralink/careers-apply/index.html,390x844,390,6849,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/mailing-list/,mailing-list,desktop,public-clone/sites/neuralink/mailing-list/assets/desktop.png,public-clone/sites/neuralink/mailing-list/index.html,1440x1000,1440,1866,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/mailing-list/,mailing-list,mobile,public-clone/sites/neuralink/mailing-list/assets/mobile.png,public-clone/sites/neuralink/mailing-list/index.html,390x844,390,2324,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/patient-registry-privacy-notice/,patient-registry-privacy-notice,desktop,public-clone/sites/neuralink/patient-registry-privacy-notice/assets/desktop.png,public-clone/sites/neuralink/patient-registry-privacy-notice/index.html,1440x1000,1440,3342,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/patient-registry-privacy-notice/,patient-registry-privacy-notice,mobile,public-clone/sites/neuralink/patient-registry-privacy-notice/assets/mobile.png,public-clone/sites/neuralink/patient-registry-privacy-notice/index.html,390x844,390,4631,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/privacy-policy/,privacy-policy,desktop,public-clone/sites/neuralink/privacy-policy/assets/desktop.png,public-clone/sites/neuralink/privacy-policy/index.html,1440x1000,1440,5861,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/privacy-policy/,privacy-policy,mobile,public-clone/sites/neuralink/privacy-policy/assets/mobile.png,public-clone/sites/neuralink/privacy-policy/index.html,390x844,390,9226,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/technology/,technology,desktop,public-clone/sites/neuralink/technology/assets/desktop.png,public-clone/sites/neuralink/technology/index.html,1440x1000,1440,26309,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/technology/,technology,mobile,public-clone/sites/neuralink/technology/assets/mobile.png,public-clone/sites/neuralink/technology/index.html,390x844,390,21398,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/terms-of-use/,terms-of-use,desktop,public-clone/sites/neuralink/terms-of-use/assets/desktop.png,public-clone/sites/neuralink/terms-of-use/index.html,1440x1000,1440,7456,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/terms-of-use/,terms-of-use,mobile,public-clone/sites/neuralink/terms-of-use/assets/mobile.png,public-clone/sites/neuralink/terms-of-use/index.html,390x844,390,12111,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/,trials,desktop,public-clone/sites/neuralink/trials/assets/desktop.png,public-clone/sites/neuralink/trials/index.html,1440x1000,1440,3460,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/,trials,mobile,public-clone/sites/neuralink/trials/assets/mobile.png,public-clone/sites/neuralink/trials/index.html,390x844,390,4454,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/device-control/,trials-device-control,desktop,public-clone/sites/neuralink/trials-device-control/assets/desktop.png,public-clone/sites/neuralink/trials-device-control/index.html,1440x1000,1440,3035,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/device-control/,trials-device-control,mobile,public-clone/sites/neuralink/trials-device-control/assets/mobile.png,public-clone/sites/neuralink/trials-device-control/index.html,390x844,390,3469,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/speech-restoration/,trials-speech-restoration,desktop,public-clone/sites/neuralink/trials-speech-restoration/assets/desktop.png,public-clone/sites/neuralink/trials-speech-restoration/index.html,1440x1000,1440,3447,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/speech-restoration/,trials-speech-restoration,mobile,public-clone/sites/neuralink/trials-speech-restoration/assets/mobile.png,public-clone/sites/neuralink/trials-speech-restoration/index.html,390x844,390,3604,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/visual-prosthesis/,trials-visual-prosthesis,desktop,public-clone/sites/neuralink/trials-visual-prosthesis/assets/desktop.png,public-clone/sites/neuralink/trials-visual-prosthesis/index.html,1440x1000,1440,2246,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/trials/visual-prosthesis/,trials-visual-prosthesis,mobile,public-clone/sites/neuralink/trials-visual-prosthesis/assets/mobile.png,public-clone/sites/neuralink/trials-visual-prosthesis/index.html,390x844,390,2658,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/,updates,desktop,public-clone/sites/neuralink/updates/assets/desktop.png,public-clone/sites/neuralink/updates/index.html,1440x1000,1440,11365,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/,updates,mobile,public-clone/sites/neuralink/updates/assets/mobile.png,public-clone/sites/neuralink/updates/index.html,390x844,390,13383,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/a-year-of-telepathy/,updates-a-year-of-telepathy,desktop,public-clone/sites/neuralink/updates-a-year-of-telepathy/assets/desktop.png,public-clone/sites/neuralink/updates-a-year-of-telepathy/index.html,1440x1000,1440,12531,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/a-year-of-telepathy/,updates-a-year-of-telepathy,mobile,public-clone/sites/neuralink/updates-a-year-of-telepathy/assets/mobile.png,public-clone/sites/neuralink/updates-a-year-of-telepathy/index.html,390x844,390,14476,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/announcing-neuralink-s-patient-registry/,updates-announcing-neuralink-s-patient-registry,desktop,public-clone/sites/neuralink/updates-announcing-neuralink-s-patient-registry/assets/desktop.png,public-clone/sites/neuralink/updates-announcing-neuralink-s-patient-registry/index.html,1440x1000,1440,2908,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/announcing-neuralink-s-patient-registry/,updates-announcing-neuralink-s-patient-registry,mobile,public-clone/sites/neuralink/updates-announcing-neuralink-s-patient-registry/assets/mobile.png,public-clone/sites/neuralink/updates-announcing-neuralink-s-patient-registry/index.html,390x844,390,3763,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/building-safe-implantable-devices/,updates-building-safe-implantable-devices,desktop,public-clone/sites/neuralink/updates-building-safe-implantable-devices/assets/desktop.png,public-clone/sites/neuralink/updates-building-safe-implantable-devices/index.html,1440x1000,1440,8111,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/building-safe-implantable-devices/,updates-building-safe-implantable-devices,mobile,public-clone/sites/neuralink/updates-building-safe-implantable-devices/assets/mobile.png,public-clone/sites/neuralink/updates-building-safe-implantable-devices/index.html,390x844,390,9647,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/can-prime-study-launch/,updates-can-prime-study-launch,desktop,public-clone/sites/neuralink/updates-can-prime-study-launch/assets/desktop.png,public-clone/sites/neuralink/updates-can-prime-study-launch/index.html,1440x1000,1440,2356,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/can-prime-study-launch/,updates-can-prime-study-launch,mobile,public-clone/sites/neuralink/updates-can-prime-study-launch/assets/mobile.png,public-clone/sites/neuralink/updates-can-prime-study-launch/index.html,390x844,390,3074,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/championing-the-3-rs/,updates-championing-the-3-rs,desktop,public-clone/sites/neuralink/updates-championing-the-3-rs/assets/desktop.png,public-clone/sites/neuralink/updates-championing-the-3-rs/index.html,1440x1000,1440,7406,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/championing-the-3-rs/,updates-championing-the-3-rs,mobile,public-clone/sites/neuralink/updates-championing-the-3-rs/assets/mobile.png,public-clone/sites/neuralink/updates-championing-the-3-rs/index.html,390x844,390,7577,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/convoy-study-launch/,updates-convoy-study-launch,desktop,public-clone/sites/neuralink/updates-convoy-study-launch/assets/desktop.png,public-clone/sites/neuralink/updates-convoy-study-launch/index.html,1440x1000,1440,1857,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/convoy-study-launch/,updates-convoy-study-launch,mobile,public-clone/sites/neuralink/updates-convoy-study-launch/assets/mobile.png,public-clone/sites/neuralink/updates-convoy-study-launch/index.html,390x844,390,2310,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/datarepo/,updates-datarepo,desktop,public-clone/sites/neuralink/updates-datarepo/assets/desktop.png,public-clone/sites/neuralink/updates-datarepo/index.html,1440x1000,1440,9380,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/datarepo/,updates-datarepo,mobile,public-clone/sites/neuralink/updates-datarepo/assets/mobile.png,public-clone/sites/neuralink/updates-datarepo/index.html,390x844,390,9865,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/environmental-enrichment/,updates-environmental-enrichment,desktop,public-clone/sites/neuralink/updates-environmental-enrichment/assets/desktop.png,public-clone/sites/neuralink/updates-environmental-enrichment/index.html,1440x1000,1440,18405,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/environmental-enrichment/,updates-environmental-enrichment,mobile,public-clone/sites/neuralink/updates-environmental-enrichment/assets/mobile.png,public-clone/sites/neuralink/updates-environmental-enrichment/index.html,390x844,390,18690,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/first-clinical-trial-open-for-recruitment/,updates-first-clinical-trial-open-for-recruitment,desktop,public-clone/sites/neuralink/updates-first-clinical-trial-open-for-recruitment/assets/desktop.png,public-clone/sites/neuralink/updates-first-clinical-trial-open-for-recruitment/index.html,1440x1000,1440,1932,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/first-clinical-trial-open-for-recruitment/,updates-first-clinical-trial-open-for-recruitment,mobile,public-clone/sites/neuralink/updates-first-clinical-trial-open-for-recruitment/assets/mobile.png,public-clone/sites/neuralink/updates-first-clinical-trial-open-for-recruitment/index.html,390x844,390,2635,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/gb-prime-study-launch/,updates-gb-prime-study-launch,desktop,public-clone/sites/neuralink/updates-gb-prime-study-launch/assets/desktop.png,public-clone/sites/neuralink/updates-gb-prime-study-launch/index.html,1440x1000,1440,1762,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/gb-prime-study-launch/,updates-gb-prime-study-launch,mobile,public-clone/sites/neuralink/updates-gb-prime-study-launch/assets/mobile.png,public-clone/sites/neuralink/updates-gb-prime-study-launch/index.html,390x844,390,2408,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/husbandry-refinement/,updates-husbandry-refinement,desktop,public-clone/sites/neuralink/updates-husbandry-refinement/assets/desktop.png,public-clone/sites/neuralink/updates-husbandry-refinement/index.html,1440x1000,1440,18398,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/husbandry-refinement/,updates-husbandry-refinement,mobile,public-clone/sites/neuralink/updates-husbandry-refinement/assets/mobile.png,public-clone/sites/neuralink/updates-husbandry-refinement/index.html,390x844,390,16616,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralink-raises-280m-series-d/,updates-neuralink-raises-280m-series-d,desktop,public-clone/sites/neuralink/updates-neuralink-raises-280m-series-d/assets/desktop.png,public-clone/sites/neuralink/updates-neuralink-raises-280m-series-d/index.html,1440x1000,1440,1796,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralink-raises-280m-series-d/,updates-neuralink-raises-280m-series-d,mobile,public-clone/sites/neuralink/updates-neuralink-raises-280m-series-d/assets/mobile.png,public-clone/sites/neuralink/updates-neuralink-raises-280m-series-d/index.html,390x844,390,2053,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralink-raises-650m-series-e/,updates-neuralink-raises-650m-series-e,desktop,public-clone/sites/neuralink/updates-neuralink-raises-650m-series-e/assets/desktop.png,public-clone/sites/neuralink/updates-neuralink-raises-650m-series-e/index.html,1440x1000,1440,2441,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralink-raises-650m-series-e/,updates-neuralink-raises-650m-series-e,mobile,public-clone/sites/neuralink/updates-neuralink-raises-650m-series-e/assets/mobile.png,public-clone/sites/neuralink/updates-neuralink-raises-650m-series-e/index.html,390x844,390,3519,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralink-receives-breakthrough-device-designation-for-blindsight/,updates-neuralink-receives-breakthrough-device-designation-for-blindsight,desktop,public-clone/sites/neuralink/updates-neuralink-receives-breakthrough-device-designation-for-blindsight/assets/desktop.png,public-clone/sites/neuralink/updates-neuralink-receives-breakthrough-device-designation-for-blindsight/index.html,1440x1000,1440,1338,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralink-receives-breakthrough-device-designation-for-blindsight/,updates-neuralink-receives-breakthrough-device-designation-for-blindsight,mobile,public-clone/sites/neuralink/updates-neuralink-receives-breakthrough-device-designation-for-blindsight/assets/mobile.png,public-clone/sites/neuralink/updates-neuralink-receives-breakthrough-device-designation-for-blindsight/index.html,390x844,390,1645,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralink-receives-breakthrough-device-designation-for-speech/,updates-neuralink-receives-breakthrough-device-designation-for-speech,desktop,public-clone/sites/neuralink/updates-neuralink-receives-breakthrough-device-designation-for-speech/assets/desktop.png,public-clone/sites/neuralink/updates-neuralink-receives-breakthrough-device-designation-for-speech/index.html,1440x1000,1440,1398,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralink-receives-breakthrough-device-designation-for-speech/,updates-neuralink-receives-breakthrough-device-designation-for-speech,mobile,public-clone/sites/neuralink/updates-neuralink-receives-breakthrough-device-designation-for-speech/assets/mobile.png,public-clone/sites/neuralink/updates-neuralink-receives-breakthrough-device-designation-for-speech/index.html,390x844,390,1776,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralink-s-commitment-to-animal-welfare/,updates-neuralink-s-commitment-to-animal-welfare,desktop,public-clone/sites/neuralink/updates-neuralink-s-commitment-to-animal-welfare/assets/desktop.png,public-clone/sites/neuralink/updates-neuralink-s-commitment-to-animal-welfare/index.html,1440x1000,1440,11739,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralink-s-commitment-to-animal-welfare/,updates-neuralink-s-commitment-to-animal-welfare,mobile,public-clone/sites/neuralink/updates-neuralink-s-commitment-to-animal-welfare/assets/mobile.png,public-clone/sites/neuralink/updates-neuralink-s-commitment-to-animal-welfare/index.html,390x844,390,14649,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralinks-patient-registry-opens-to-canada/,updates-neuralinks-patient-registry-opens-to-canada,desktop,public-clone/sites/neuralink/updates-neuralinks-patient-registry-opens-to-canada/assets/desktop.png,public-clone/sites/neuralink/updates-neuralinks-patient-registry-opens-to-canada/index.html,1440x1000,1440,2638,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/neuralinks-patient-registry-opens-to-canada/,updates-neuralinks-patient-registry-opens-to-canada,mobile,public-clone/sites/neuralink/updates-neuralinks-patient-registry-opens-to-canada/assets/mobile.png,public-clone/sites/neuralink/updates-neuralinks-patient-registry-opens-to-canada/index.html,390x844,390,3293,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/pager-plays-mindpong/,updates-pager-plays-mindpong,desktop,public-clone/sites/neuralink/updates-pager-plays-mindpong/assets/desktop.png,public-clone/sites/neuralink/updates-pager-plays-mindpong/index.html,1440x1000,1440,12178,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/pager-plays-mindpong/,updates-pager-plays-mindpong,mobile,public-clone/sites/neuralink/updates-pager-plays-mindpong/assets/mobile.png,public-clone/sites/neuralink/updates-pager-plays-mindpong/index.html,390x844,390,13006,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/prime-study-progress-update-second-participant/,updates-prime-study-progress-update-second-participant,desktop,public-clone/sites/neuralink/updates-prime-study-progress-update-second-participant/assets/desktop.png,public-clone/sites/neuralink/updates-prime-study-progress-update-second-participant/index.html,1440x1000,1440,7414,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/prime-study-progress-update-second-participant/,updates-prime-study-progress-update-second-participant,mobile,public-clone/sites/neuralink/updates-prime-study-progress-update-second-participant/assets/mobile.png,public-clone/sites/neuralink/updates-prime-study-progress-update-second-participant/index.html,390x844,390,9003,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/prime-study-progress-update-user-experience/,updates-prime-study-progress-update-user-experience,desktop,public-clone/sites/neuralink/updates-prime-study-progress-update-user-experience/assets/desktop.png,public-clone/sites/neuralink/updates-prime-study-progress-update-user-experience/index.html,1440x1000,1440,7349,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/prime-study-progress-update-user-experience/,updates-prime-study-progress-update-user-experience,mobile,public-clone/sites/neuralink/updates-prime-study-progress-update-user-experience/assets/mobile.png,public-clone/sites/neuralink/updates-prime-study-progress-update-user-experience/index.html,390x844,390,8970,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/prime-study-progress-update/,updates-prime-study-progress-update,desktop,public-clone/sites/neuralink/updates-prime-study-progress-update/assets/desktop.png,public-clone/sites/neuralink/updates-prime-study-progress-update/index.html,1440x1000,1440,10143,inf,true,true,pixel-perfect
neuralink,https://neuralink.com/updates/prime-study-progress-update/,updates-prime-study-progress-update,mobile,public-clone/sites/neuralink/updates-prime-study-progress-update/assets/mobile.png,public-clone/sites/neuralink/updates-prime-study-progress-update/index.html,390x844,390,11138,inf,true,true,pixel-perfect
